# NV ODMR spectrum, 2026-06-18T16:46:14
# start=2700.0 stop=3000.0 step=1.0 MHz
# averages_per_point=4 samples_per_capture=16384
freq_MHz,pl_volts
2819.0000,0.060075
2820.0000,0.059864
2821.0000,0.059889
2822.0000,0.060365
2823.0000,0.060036
2824.0000,0.060731
2825.0000,0.060301
2826.0000,0.061022
2827.0000,0.060510
2828.0000,0.060719
2829.0000,0.060407
2830.0000,0.060213
2831.0000,0.060441
2832.0000,0.060084
2833.0000,0.060581
2834.0000,0.059962
2835.0000,0.060616
2836.0000,0.060160
2837.0000,0.060455
2838.0000,0.060419
2839.0000,0.060273
2840.0000,0.060612
2841.0000,0.060033
2842.0000,0.060607
2843.0000,0.059955
2844.0000,0.060455
2845.0000,0.059928
2846.0000,0.060170
2847.0000,0.060063
2848.0000,0.059874
2849.0000,0.060135
2850.0000,0.059713
2851.0000,0.060191
2852.0000,0.059503
2853.0000,0.060036
2854.0000,0.059626
2855.0000,0.059802
2856.0000,0.059886
2857.0000,0.059631
2858.0000,0.060091
2859.0000,0.059541
2860.0000,0.060134
2861.0000,0.059550
2862.0000,0.059965
2863.0000,0.059784
2864.0000,0.059684
2865.0000,0.059889
2866.0000,0.059518
2867.0000,0.060039
2868.0000,0.059427
2869.0000,0.060043
2870.0000,0.059623
2871.0000,0.059900
2872.0000,0.059831
2873.0000,0.059671
2874.0000,0.060026
2875.0000,0.059522
2876.0000,0.060150
2877.0000,0.059548
2878.0000,0.060188
2879.0000,0.059797
2880.0000,0.059976
2881.0000,0.060086
2882.0000,0.059704
2883.0000,0.060357
2884.0000,0.059713
2885.0000,0.060339
2886.0000,0.059897
2887.0000,0.060118
2888.0000,0.060195
2889.0000,0.059920
2890.0000,0.060386
2891.0000,0.059735
2892.0000,0.060371
2893.0000,0.059920
2894.0000,0.060093
2895.0000,0.060162
2896.0000,0.059834
2897.0000,0.060286
2898.0000,0.059650
2899.0000,0.060310
2900.0000,0.059743
2901.0000,0.060054
2902.0000,0.059916
2903.0000,0.059798
2904.0000,0.060169
2905.0000,0.059556
2906.0000,0.060179
2907.0000,0.059621
2908.0000,0.059817
2909.0000,0.059801
2910.0000,0.059453
2911.0000,0.059951
2912.0000,0.059278
2913.0000,0.059809
2914.0000,0.059470
2915.0000,0.059467
2916.0000,0.059762
2917.0000,0.059271
2918.0000,0.059919
2919.0000,0.059322
2920.0000,0.059575
2921.0000,0.059486
2922.0000,0.059242
2923.0000,0.059886
2924.0000,0.059272
2925.0000,0.059785
2926.0000,0.059441
2927.0000,0.059249
2928.0000,0.059580
2929.0000,0.058933
2930.0000,0.059572
2931.0000,0.059128
2932.0000,0.059360
2933.0000,0.059495
2934.0000,0.059052
2935.0000,0.059726
2936.0000,0.059111
2937.0000,0.059660
2938.0000,0.059235
2939.0000,0.059315
2940.0000,0.059514
2941.0000,0.059059
2942.0000,0.059631
2943.0000,0.058949
2944.0000,0.059407
2945.0000,0.059162
2946.0000,0.059045
2947.0000,0.059394
2948.0000,0.058849
2949.0000,0.059495
2950.0000,0.058919
2951.0000,0.059227
2952.0000,0.059174
2953.0000,0.058891
2954.0000,0.059334
2955.0000,0.058701
2956.0000,0.058834
2957.0000,0.058985
2958.0000,0.059170
2959.0000,0.059206
2960.0000,0.059262
2961.0000,0.059268
2962.0000,0.059339
2963.0000,0.059366
2964.0000,0.059274
2965.0000,0.059205
2966.0000,0.059120
2967.0000,0.058917
2968.0000,0.058739
2969.0000,0.058664
2970.0000,0.058617
2971.0000,0.058589
2972.0000,0.058528
2973.0000,0.058434
2974.0000,0.058567
2975.0000,0.058776
2976.0000,0.058933
2977.0000,0.059119
2978.0000,0.059174
2979.0000,0.059245
2980.0000,0.059403
2981.0000,0.059472
2982.0000,0.059481
2983.0000,0.059357
2984.0000,0.059144
2985.0000,0.058850
2986.0000,0.058662
2987.0000,0.058612
2988.0000,0.058536
2989.0000,0.058532
2990.0000,0.058500
2991.0000,0.058455
2992.0000,0.058478
2993.0000,0.058677
2994.0000,0.058892
2995.0000,0.059096
2996.0000,0.059195
2997.0000,0.059258
2998.0000,0.059302
2999.0000,0.059370
3000.0000,0.059387
