# DC ODMR, one dec-1024 buffer per point, 2026-07-16T12:37:54, power_dBm=16.0, fs_Hz=122070.3
freq_MHz,V_2ms,V_8ms,V_20ms,V_100ms
2887.4000,0.1557290,0.1557498,0.1557488,0.1557606
2887.5000,0.1557520,0.1557546,0.1557779,0.1557712
2887.6000,0.1558005,0.1558272,0.1558119,0.1558050
2887.7000,0.1558235,0.1558347,0.1558049,0.1558270
2887.8000,0.1558445,0.1558716,0.1558780,0.1558502
2887.9000,0.1558425,0.1558051,0.1558162,0.1558442
2888.0000,0.1558090,0.1558425,0.1558619,0.1558483
2888.1000,0.1558370,0.1558420,0.1558366,0.1558322
2888.2000,0.1558470,0.1558730,0.1558777,0.1558743
2888.3000,0.1559295,0.1558860,0.1558568,0.1558900
2888.4000,0.1558680,0.1558549,0.1558528,0.1558758
2888.5000,0.1559515,0.1559182,0.1559228,0.1559278
2888.6000,0.1559375,0.1559133,0.1559018,0.1559356
2888.7000,0.1558180,0.1558435,0.1558945,0.1559191
2888.8000,0.1560320,0.1559910,0.1559889,0.1559801
2888.9000,0.1560285,0.1560457,0.1560251,0.1559508
2889.0000,0.1559695,0.1559782,0.1559712,0.1559743
2889.1000,0.1559525,0.1559919,0.1559571,0.1559532
2889.2000,0.1559525,0.1559458,0.1559571,0.1559874
2889.3000,0.1559930,0.1559906,0.1560101,0.1560178
2889.4000,0.1560470,0.1560191,0.1560076,0.1559836
2889.5000,0.1560705,0.1560732,0.1560563,0.1560274
2889.6000,0.1558775,0.1559446,0.1559357,0.1560046
2889.7000,0.1560390,0.1560124,0.1559773,0.1560402
2889.8000,0.1560875,0.1561106,0.1561005,0.1561237
2889.9000,0.1560705,0.1560642,0.1560544,0.1560598
2890.0000,0.1560295,0.1560517,0.1560517,0.1561183
2890.1000,0.1562390,0.1562539,0.1562251,0.1561852
2890.2000,0.1562125,0.1562163,0.1562005,0.1561562
2890.3000,0.1561800,0.1561350,0.1561231,0.1561795
2890.4000,0.1562335,0.1562554,0.1562519,0.1562787
2890.5000,0.1562475,0.1562406,0.1562251,0.1562821
2890.6000,0.1562985,0.1562932,0.1562750,0.1562948
2890.7000,0.1562055,0.1561848,0.1562305,0.1562613
2890.8000,0.1562315,0.1562735,0.1563092,0.1562981
2890.9000,0.1562670,0.1562629,0.1562274,0.1562687
2891.0000,0.1563205,0.1563113,0.1563116,0.1563113
2891.1000,0.1564290,0.1564172,0.1564283,0.1563862
2891.2000,0.1563745,0.1563249,0.1563243,0.1563344
2891.3000,0.1563785,0.1563919,0.1564266,0.1564419
2891.4000,0.1563185,0.1563274,0.1563562,0.1563719
2891.5000,0.1563120,0.1563509,0.1563755,0.1564141
2891.6000,0.1563950,0.1564402,0.1564567,0.1564628
2891.7000,0.1564265,0.1563941,0.1564083,0.1564146
2891.8000,0.1565170,0.1564537,0.1564172,0.1564025
2891.9000,0.1564370,0.1564584,0.1564011,0.1564493
2892.0000,0.1564435,0.1564492,0.1564504,0.1564568
2892.1000,0.1565240,0.1565356,0.1565296,0.1564909
2892.2000,0.1565125,0.1565020,0.1565028,0.1565194
2892.3000,0.1565225,0.1565253,0.1565269,0.1565297
2892.4000,0.1565310,0.1565512,0.1565579,0.1565352
2892.5000,0.1566395,0.1566053,0.1565813,0.1566848
2892.6000,0.1566090,0.1566083,0.1566071,0.1566769
2892.7000,0.1568370,0.1568148,0.1567789,0.1567002
