# self-oscillation statistics, 2026-07-10T14:34:53, gain=2.3, f_star_MHz=2867.90000, R0_V=1.01510696e-04, D_V_per_MHz=1.03149662e-04
cycle,t_s,f_MHz,R_V
246,100.8976,2862.418419,6.48209153e-05
247,101.3433,2863.988167,3.11110979e-05
248,101.7405,2861.609653,2.08181541e-04
249,102.1314,2862.461806,6.32936427e-05
250,102.5788,2864.141730,2.61699779e-05
251,102.9762,2861.632218,2.14056487e-04
252,103.3985,2861.897755,8.96019590e-05
253,103.7908,2862.625317,6.88812464e-05
254,104.1761,2863.423936,6.56945005e-05
255,104.5766,2861.978888,1.66317747e-04
256,104.9650,2862.652276,7.13108081e-05
257,105.3960,2864.246449,3.00157175e-05
258,105.7912,2861.658077,2.17593157e-04
259,106.1911,2862.687672,5.53357537e-05
260,106.6295,2863.408513,6.91826886e-05
261,107.0294,2861.917928,1.68359941e-04
262,107.4432,2862.591073,7.13217204e-05
263,107.8652,2864.233730,2.78413346e-05
264,108.2820,2861.597636,2.19733387e-04
265,108.6739,2862.473014,6.22520201e-05
266,109.1111,2863.741538,4.46203320e-05
267,109.4968,2861.762258,1.90276818e-04
268,109.9126,2862.019919,8.99552281e-05
269,110.2607,2862.597687,7.55991196e-05
270,110.6818,2862.906155,8.76766430e-05
271,111.0959,2862.414766,1.23548317e-04
272,111.4753,2862.593705,9.34857333e-05
273,111.8739,2862.699721,9.67561116e-05
274,112.2640,2862.583474,1.06724111e-04
275,112.7109,2862.965767,8.43657369e-05
276,113.1115,2862.282880,1.32136596e-04
277,113.4567,2862.590126,8.77314338e-05
278,113.8912,2863.495955,6.08863290e-05
279,114.2906,2861.850925,1.75286477e-04
280,114.6807,2862.647655,6.57792115e-05
281,115.1101,2864.412534,2.23599983e-05
282,115.5051,2861.720616,2.22236955e-04
283,115.8970,2862.514027,6.59280499e-05
284,116.3240,2863.044911,7.77017926e-05
285,116.7270,2862.196121,1.39576942e-04
286,117.1655,2862.357604,9.42685698e-05
287,117.5792,2862.692996,8.64691185e-05
288,117.9756,2862.710999,1.00703326e-04
289,118.4063,2864.200161,3.47252221e-05
290,118.8117,2861.637991,2.16418072e-04
291,119.2074,2862.616845,5.76113738e-05
292,119.6402,2863.977433,4.04914899e-05
293,120.0322,2861.583893,2.08855415e-04
