# self-oscillation gain scan, 2026-07-10T14:34:53, f_star_MHz=2867.90000, R0_V=1.01510696e-04, D_V_per_MHz=1.03149662e-04, gamma_MHz_per_mT=28.024
gain,cycle,t_s,f_MHz,R_V
1.0,10,4.4679,2868.255951,9.91650718e-06
1.0,11,4.8965,2868.274491,9.95983459e-05
1.0,12,5.3003,2867.398110,1.91909055e-04
1.0,13,5.7454,2867.492384,9.17863884e-05
1.0,14,6.1343,2868.227093,2.57257461e-05
1.0,15,6.5505,2867.405555,1.86252060e-04
1.0,16,6.9683,2867.524779,8.92127467e-05
1.0,17,7.3831,2868.174647,3.44770995e-05
1.0,18,7.7866,2867.382626,1.83207318e-04
1.0,19,8.2335,2867.521613,8.71742795e-05
1.0,20,8.6339,2868.179919,3.36066880e-05
1.0,21,9.0615,2868.301827,8.89359290e-05
1.0,22,9.4507,2867.366483,1.97991103e-04
1.0,23,9.8641,2868.249291,1.04493618e-05
1.0,24,10.3011,2868.312914,9.49479421e-05
1.0,25,10.6947,2867.327932,2.03111282e-04
1.0,26,11.0829,2868.148151,1.69053343e-05
1.0,27,11.5313,2868.160641,1.00222382e-04
1.0,28,11.9282,2867.474857,1.72249128e-04
1.0,29,12.3302,2868.284724,1.79731107e-05
1.0,30,12.7513,2868.241213,1.05998906e-04
1.0,31,13.1621,2867.389747,1.89339125e-04
1.0,32,13.5606,2868.297875,7.83762762e-06
1.0,33,14.0147,2868.309544,1.00306994e-04
1.0,34,14.4153,2867.452672,1.89896723e-04
1.0,35,14.8518,2867.629438,8.32773590e-05
1.0,36,15.2445,2868.040643,5.90950828e-05
1.0,37,15.6468,2867.469239,1.60450781e-04
1.0,38,16.0668,2867.725189,7.51095744e-05
1.0,39,16.4599,2867.873546,8.62076498e-05
1.0,40,16.8990,2867.930287,9.56579206e-05
1.0,41,17.2844,2867.571943,1.38473783e-04
1.0,42,17.6686,2868.133855,4.35496470e-05
1.0,43,18.0919,2868.282597,8.61679726e-05
1.0,44,18.4851,2867.391315,1.93446207e-04
1.0,45,18.8819,2868.256139,1.23043677e-05
1.0,46,19.3272,2868.260932,1.01016282e-04
1.0,47,19.7329,2867.307236,1.99884122e-04
1.0,48,20.1502,2868.058684,2.39990888e-05
1.0,49,20.5241,2868.355147,7.09306223e-05
1.0,50,20.9182,2867.429010,1.97041414e-04
1.0,51,21.3165,2868.255993,1.62077363e-05
1.0,52,21.6954,2868.238921,1.03271662e-04
1.0,53,22.1132,2867.382887,1.89810276e-04
1.0,54,22.5635,2867.493087,9.01435920e-05
1.0,55,22.9622,2868.280263,2.03137345e-05
1.0,56,23.3799,2868.190290,1.10791405e-04
1.0,57,23.7679,2867.418426,1.81128239e-04
1.0,58,24.1800,2868.304919,1.00692136e-05
1.0,59,24.6015,2868.336944,9.82073349e-05
1.0,60,25.0164,2867.357881,2.02500699e-04
1.0,61,25.4502,2867.503426,8.64977460e-05
1.0,62,25.8607,2868.181843,3.15323027e-05
1.0,63,26.2504,2867.385120,1.83692355e-04
1.0,64,26.6945,2867.518734,8.77284432e-05
1.0,65,27.0831,2868.174287,3.38906320e-05
1.0,66,27.4758,2867.413644,1.79970727e-04
1.0,67,27.9017,2867.470926,9.56020777e-05
1.0,68,28.3070,2868.256868,2.04411186e-05
1.0,69,28.6965,2867.397800,1.90123250e-04
1.0,70,29.1264,2867.454103,9.57030012e-05
1.0,71,29.5341,2868.281047,1.62117037e-05
1.0,72,29.9475,2867.379692,1.94485236e-04
1.0,73,30.3792,2867.329179,1.06721112e-04
1.0,74,30.7848,2868.165182,1.52771861e-05
1.0,75,31.1947,2867.403629,1.80064630e-04
1.0,76,31.5734,2867.524313,8.90621953e-05
1.0,77,31.9766,2868.185429,3.33168714e-05
1.0,78,32.3636,2867.393803,1.83166641e-04
1.0,79,32.7701,2867.559385,8.44309447e-05
1.0,80,33.1794,2868.126604,4.30021893e-05
1.0,81,33.6107,2868.103912,1.03851466e-04
1.0,82,34.0102,2867.486328,1.65214211e-04
1.0,83,34.4478,2867.719440,7.74652678e-05
1.0,84,34.8428,2867.851897,8.78477871e-05
1.0,85,35.2334,2867.715261,1.15604641e-04
1.0,86,35.6639,2867.801214,9.26447161e-05
1.0,87,36.0791,2867.805671,1.01050998e-04
1.0,88,36.5122,2868.665435,1.28263010e-05
1.0,89,36.8996,2867.642020,2.07075592e-04
1.0,90,37.3334,2867.906463,7.42335390e-05
1.0,91,37.7456,2867.627286,1.30307656e-04
